To industry / sector,,"D01T02: Agriculture, hunting, forestry",D03: Fishing and aquaculture,"D05T06: Mining and quarrying, energy producing products","D07T08: Mining and quarrying, non-energy producing products",D09: Mining support service activities,"D10T12: Food products, beverages and tobacco","D13T15: Textiles, textile products, leather and footwear",D16: Wood and products of wood and cork,D17T18: Paper products and printing,D19: Coke and refined petroleum products,D20: Chemical and chemical products,"D21: Pharmaceuticals, medicinal chemical and botanical products",D22: Rubber and plastics products,D23: Other non-metallic mineral products,D24: Basic metals,D25: Fabricated metal products,"D26: Computer, electronic and optical equipment",D27: Electrical equipment,"D28: Machinery and equipment, nec","D29: Motor vehicles, trailers and semi-trailers",D30: Other transport equipment,D31T33: Manufacturing nec; repair and installation of machinery and equipment,"D35: Electricity, gas, steam and air conditioning supply","D36T39: Water supply; sewerage, waste management and remediation activities",D41T43: Construction,D45T47: Wholesale and retail trade; repair of motor vehicles,D49: Land transport and transport via pipelines,D50: Water transport,D51: Air transport,D52: Warehousing and support activities for transportation,D53: Postal and courier activities,D55T56: Accommodation and food service activities,"D58T60: Publishing, audiovisual and broadcasting activities",D61: Telecommunications,D62T63: IT and other information services,D64T66: Financial and insurance activities,D68: Real estate activities,"D69T75: Professional, scientific and technical activities",D77T82: Administrative and support services,D84: Public administration and defence; compulsory social security,D85: Education,D86T88: Human health and social work activities,"D90T93: Arts, entertainment and recreation",D94T96: Other service activities,D97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
TTL_19: Coke and refined petroleum products,,"16,659.400 ","4,647.400 ","12,580.000 ","10,803.600 ",863.300 ,"1,506.000 ","1,246.200 ",747.000 ,874.400 ,"16,512.000 ","87,645.400 ",432.200 ,"3,366.900 ","24,324.400 ","55,471.500 ","3,164.200 ","1,902.000 ","2,168.000 ","4,244.700 ","1,954.000 ",755.100 ,918.900 ,"23,167.800 ","1,778.500 ","28,742.900 ","5,181.000 ","79,382.700 ","10,715.700 ","16,013.900 ","15,056.200 ","1,542.300 ",793.800 ,296.500 ,793.400 ,219.200 ,"1,702.700 ","1,182.600 ","14,633.900 ","11,966.000 ","8,846.100 ","2,363.100 ",456.800 ,823.600 ,938.200 ,0.000 ,"31,861.300 ",38.800 ,16.700 ,62.600 ,"2,319.700 ","1,799.100 ",894.900 ,"15,180.100 ","-43,731.600 "
TTL_20: Chemical and chemical products,,"122,916.100 ",822.400 ,"10,658.500 ","13,141.900 ","1,425.300 ","8,106.500 ","60,073.000 ","12,191.700 ","32,655.900 ","6,680.200 ","415,961.500 ","11,554.300 ","141,330.200 ","54,267.100 ","22,022.600 ","23,715.200 ","28,718.900 ","37,989.800 ","15,937.800 ","9,507.000 ","2,725.900 ","11,720.000 ","1,014.600 ","6,893.000 ","83,678.600 ",493.300 ,"1,279.200 ",110.600 ,262.300 ,"2,699.200 ",199.100 ,"1,907.300 ","2,630.200 ",67.100 ,"3,710.700 ",367.500 ,648.400 ,"21,379.400 ","8,156.600 ","4,912.200 ","7,896.200 ","8,028.500 ","3,345.700 ","8,797.900 ",0.000 ,"25,478.000 ",41.800 ,70.500 ,214.500 ,"1,519.200 ",659.900 ,395.000 ,"87,655.100 ","-116,838.700 "
"TTL_21: Pharmaceuticals, medicinal chemical and botanical products",,"13,602.900 ","1,012.200 ",91.500 ,65.500 ,12.300 ,980.100 ,195.800 ,6.900 ,339.400 ,10.700 ,"3,561.200 ","76,266.500 ",274.900 ,537.000 ,218.100 ,205.300 ,514.200 ,71.100 ,386.900 ,26.900 ,14.400 ,95.600 ,43.800 ,151.200 ,"2,171.600 ",78.900 ,172.300 ,8.200 ,27.600 ,36.500 ,68.300 ,24.800 ,16.200 ,515.300 ,49.000 ,71.400 ,17.100 ,"1,571.900 ",208.600 ,123.500 ,122.900 ,"84,442.900 ",23.200 ,360.100 ,0.000 ,"73,810.700 ",64.600 ,"23,562.800 ",73.200 ,"3,432.300 ",465.500 ,311.800 ,"16,644.200 ","-11,893.700 "
TTL_22: Rubber and plastics products,,"10,818.300 ",182.100 ,"1,394.400 ","2,687.700 ",715.200 ,"15,827.100 ","12,731.300 ","2,009.800 ","10,084.300 ",455.300 ,"33,270.500 ","1,273.700 ","88,725.400 ","13,214.200 ","2,221.400 ","8,331.800 ","31,567.000 ","35,362.400 ","26,191.300 ","30,584.800 ","5,639.700 ","9,726.000 ",257.700 ,"4,931.400 ","38,126.300 ","3,805.200 ","9,267.000 ",21.800 ,52.500 ,600.100 ,402.400 ,"1,016.500 ",74.900 ,638.800 ,134.400 ,53.200 ,577.900 ,"1,693.600 ","2,304.300 ",340.200 ,23.000 ,504.600 ,"1,014.700 ","1,315.600 ",0.000 ,"6,569.600 ",0.200 ,17.900 ,202.600 ,775.300 ,30.600 ,0.000 ,"56,871.500 ","-22,442.000 "
TTL_23: Other non-metallic mineral products,,373.800 ,146.600 ,"1,307.300 ","2,757.000 ",836.400 ,"5,503.300 ",639.600 ,387.100 ,414.300 ,"1,602.800 ","5,661.200 ","2,425.400 ","2,345.300 ","153,120.900 ","23,614.300 ","6,003.700 ","13,445.400 ","20,823.100 ","6,108.900 ","11,366.000 ",803.800 ,"1,905.700 ",511.900 ,"1,141.300 ","499,162.300 ",134.200 ,464.300 ,10.500 ,112.800 ,382.400 ,666.900 ,131.800 ,596.000 ,201.700 ,148.200 ,54.700 ,96.700 ,"1,074.600 ",498.300 ,"2,053.700 ",945.200 ,208.100 ,869.300 ,23.500 ,0.000 ,"8,865.800 ",0.100 ,13.600 ,72.100 ,770.600 ,15.600 ,0.000 ,"45,095.600 ","-9,907.800 "
TTL_24: Basic metals,,91.700 ,9.000 ,"15,058.300 ","2,684.800 ","1,062.000 ",203.900 ,364.100 ,247.000 ,"4,072.000 ",51.600 ,"8,582.000 ",89.800 ,"2,424.400 ","15,950.100 ","433,119.500 ","153,613.100 ","30,419.400 ","175,388.200 ","150,941.400 ","73,716.600 ","17,040.300 ","18,751.500 ",384.500 ,"3,578.000 ","319,122.200 ",132.000 ,"1,632.600 ",107.600 ,54.900 ,460.500 ,107.900 ,5.300 ,33.200 ,23.800 ,17.900 ,29.300 ,10.400 ,465.900 ,113.700 ,18.400 ,61.000 ,12.000 ,60.100 ,107.700 ,0.000 ,"1,071.300 ",0.200 ,17.500 ,334.600 ,852.800 ,76.700 ,0.000 ,"68,636.900 ","-109,344.100 "
TTL_25: Fabricated metal products,,766.600 ,62.800 ,"7,067.100 ","6,858.800 ",655.300 ,"3,626.000 ","1,077.600 ","4,177.600 ","1,571.800 ",160.700 ,"4,738.000 ",646.200 ,"6,106.700 ","23,117.200 ","9,010.300 ","75,702.600 ","16,970.200 ","31,174.000 ","47,082.700 ","16,460.200 ","5,887.200 ","6,711.500 ",297.600 ,"2,025.400 ","118,984.900 ",502.300 ,400.900 ,157.100 ,44.500 ,"2,697.100 ",155.500 ,245.500 ,56.300 ,89.700 ,65.000 ,73.000 ,"1,409.500 ","18,384.300 ","10,028.900 ","1,297.500 ",849.100 ,70.200 ,202.800 ,581.500 ,0.000 ,"7,663.500 ",4.600 ,17.400 ,"44,689.100 ","2,765.300 ",50.100 ,0.000 ,"73,349.100 ","-13,282.400 "
"TTL_26: Computer, electronic and optical equipment",,296.300 ,38.300 ,"4,047.100 ",624.500 ,280.900 ,312.100 ,316.200 ,167.800 ,494.600 ,873.400 ,"2,042.100 ",188.900 ,668.300 ,"1,119.300 ","1,188.700 ","1,612.600 ","487,216.400 ","44,928.300 ","48,527.200 ","17,365.400 ","9,179.100 ","2,362.500 ","16,421.800 ","1,165.400 ","9,443.900 ","10,283.200 ",805.800 ,34.100 ,65.400 ,481.500 ,264.600 ,155.400 ,211.400 ,"22,587.500 ","42,725.000 ",967.800 ,920.000 ,"37,095.900 ","15,885.100 ","3,078.100 ","4,364.000 ",342.500 ,480.000 ,"2,627.300 ",0.000 ,"69,261.300 ",16.700 ,149.700 ,"96,959.300 ","7,721.500 ",715.400 ,589.500 ,"438,956.600 ","-260,576.400 "
TTL_27: Electrical equipment,,257.000 ,33.800 ,"2,225.700 ","2,229.100 ",119.900 ,547.100 ,513.400 ,175.400 ,349.000 ,366.900 ,"2,002.600 ",78.400 ,739.700 ,"1,881.400 ","1,778.700 ","2,435.600 ","47,027.000 ","117,125.300 ","54,337.500 ","14,415.100 ","15,732.700 ","2,493.400 ","29,718.700 ","4,719.500 ","96,343.800 ","19,815.600 ",726.300 ,170.000 ,109.500 ,207.400 ,91.000 ,106.900 ,512.400 ,"30,329.000 ","4,611.200 ",87.700 ,920.600 ,"23,135.400 ","15,506.400 ","1,613.800 ",26.300 ,494.500 ,"1,004.000 ",860.500 ,0.000 ,"60,902.000 ",1.400 ,35.400 ,"116,900.900 ","8,287.800 ",315.900 ,203.700 ,"170,350.400 ","-38,021.900 "
"TTL_28: Machinery and equipment, nec",,"9,183.400 ","2,100.900 ","20,938.800 ","16,602.900 ","1,885.900 ","3,491.300 ","5,575.000 ","2,325.200 ","3,670.700 ","2,373.000 ","11,731.200 ","1,497.800 ","3,048.600 ","24,516.100 ","30,384.100 ","23,922.600 ","14,244.700 ","33,521.300 ","237,022.100 ","44,173.300 ","15,624.300 ","3,202.900 ","3,070.600 ","1,702.600 ","26,729.300 ",581.200 ,"1,382.900 ","1,712.000 ","3,983.600 ","5,248.200 ",424.900 ,152.900 ,40.700 ,201.800 ,74.300 ,816.300 ,453.900 ,655.800 ,526.200 ,251.200 ,439.700 ,"6,696.600 ",62.500 ,77.900 ,0.000 ,"3,180.000 ",6.200 ,58.300 ,"468,221.200 ","23,385.300 ",42.600 ,0.000 ,"134,708.200 ","-100,528.700 "
"TTL_29: Motor vehicles, trailers and semi-trailers",,"1,457.100 ",247.700 ,588.600 ,"2,407.300 ",153.600 ,213.700 ,114.700 ,26.600 ,103.400 ,111.200 ,332.900 ,27.700 ,114.600 ,"5,652.800 ",728.800 ,"1,128.300 ","1,095.000 ",438.200 ,"25,914.300 ","429,712.900 ",941.700 ,443.800 ,112.900 ,"1,582.800 ","2,369.200 ","6,673.600 ","85,620.800 ",19.800 ,72.600 ,590.900 ,"2,003.700 ",515.200 ,132.600 ,977.500 ,"4,049.500 ",605.200 ,168.800 ,"22,307.300 ","26,862.500 ","12,099.600 ",10.300 ,316.800 ,"1,998.600 ","1,608.300 ",0.000 ,"125,251.300 ",1.700 ,63.600 ,"331,119.100 ","25,184.700 ",410.700 ,237.400 ,"39,215.800 ","-67,554.100 "
TTL_30: Other transport equipment,,162.000 ,368.200 ,57.600 ,58.800 ,3.100 ,14.900 ,14.500 ,5.800 ,8.600 ,24.600 ,41.900 ,5.000 ,18.100 ,39.400 ,74.500 ,72.600 ,242.700 ,173.300 ,"1,601.700 ",649.700 ,"33,013.700 ","1,356.700 ",30.300 ,119.300 ,826.400 ,91.700 ,"5,645.000 ","1,712.400 ","4,412.700 ",352.900 ,"3,546.700 ",4.900 ,157.800 ,86.500 ,194.300 ,100.400 ,7.800 ,176.900 ,"2,882.000 ",319.200 ,3.800 ,28.800 ,49.100 ,237.900 ,0.000 ,"18,092.500 ",6.800 ,31.300 ,"74,972.800 ","5,034.800 ",17.100 ,0.000 ,"53,580.700 ","-35,941.000 "
TTL_31T33: Manufacturing nec; repair and installation of machinery and equipment,,554.700 ,59.500 ,929.100 ,701.800 ,105.500 ,801.900 ,"1,413.200 ",389.400 ,655.800 ,218.100 ,"1,305.400 ",370.000 ,455.900 ,"2,036.000 ","1,697.200 ","1,199.300 ","1,680.100 ","1,345.400 ","2,212.100 ","2,614.300 ",474.000 ,"5,019.900 ","2,368.200 ",404.400 ,"5,953.800 ","1,089.300 ","1,712.700 ",19.300 ,219.700 ,655.600 ,258.500 ,251.400 ,403.200 ,725.600 ,564.200 ,"2,998.800 ","1,500.000 ","3,501.600 ","2,812.600 ","2,528.400 ","1,485.700 ",243.900 ,627.400 ,930.400 ,0.000 ,"19,537.200 ",5.200 ,34.200 ,"10,813.200 ","2,107.700 ","1,743.000 ","1,436.900 ","142,189.900 ","-14,534.400 "
"TTL_35: Electricity, gas, steam and air conditioning supply",,"12,424.900 ",881.100 ,"20,263.200 ","18,848.700 ",593.800 ,"8,211.100 ","10,415.100 ","2,987.400 ","6,370.800 ","4,931.200 ","53,061.200 ","3,920.400 ","9,864.400 ","38,326.900 ","64,599.700 ","23,255.000 ","7,799.100 ","8,014.700 ","16,170.000 ","6,761.600 ","1,507.400 ","2,820.500 ","225,978.000 ","8,055.300 ","30,851.500 ","15,047.300 ","18,210.500 ",256.700 ,364.300 ,957.900 ,335.000 ,"3,071.600 ",491.100 ,"5,689.600 ",804.100 ,"2,251.900 ","5,028.800 ","2,379.400 ","1,644.100 ","4,300.500 ","2,314.000 ","1,407.800 ","2,149.700 ","2,679.400 ",0.000 ,"64,846.000 ",26.500 ,"102,158.600 ",79.400 ,30.500 ,18.500 ,0.000 ,"1,376.400 ","-2,290.500 "
"TTL_36T39: Water supply; sewerage, waste management and remediation activities",,"1,735.600 ",175.900 ,391.700 ,716.800 ,26.800 ,"1,128.800 ",835.000 ,116.100 ,"7,368.400 ",116.200 ,"3,132.100 ",169.800 ,948.200 ,"3,072.300 ","36,889.100 ","4,297.000 ",515.500 ,438.700 ,"1,421.700 ",505.600 ,151.800 ,199.400 ,"2,767.600 ","9,710.300 ","1,939.200 ",727.800 ,338.800 ,24.400 ,47.400 ,67.100 ,33.200 ,527.000 ,34.300 ,161.100 ,25.000 ,279.900 ,491.000 ,614.700 ,576.500 ,407.500 ,458.500 ,239.800 ,258.300 ,377.500 ,0.000 ,"12,086.900 ",422.700 ,"11,426.700 ","22,020.800 ",0.100 ,7.800 ,0.000 ,0.000 ,-278.300 
TTL_41T43: Construction,,168.000 ,5.800 ,"1,191.300 ",789.700 ,45.500 ,"1,486.600 ",911.200 ,247.200 ,627.000 ,420.500 ,"1,595.700 ",203.100 ,433.800 ,"1,800.900 ","1,598.800 ","1,363.800 ","2,049.000 ","1,059.100 ","1,858.300 ","1,043.700 ",432.700 ,466.100 ,"3,168.500 ","1,564.800 ","80,422.900 ","4,425.900 ","6,205.800 ",5.300 ,258.100 ,939.100 ,931.400 ,"1,251.200 ",886.500 ,"2,893.600 ",138.100 ,"3,994.800 ","20,897.000 ","1,926.700 ","1,205.600 ","7,145.300 ","2,067.000 ","1,078.300 ","1,432.900 ","1,036.800 ",0.000 ,"31,949.600 ",85.300 ,59.100 ,"2,321,478.000 ",0.200 ,62.500 ,0.000 ,0.000 ,"-1,001.800 "
TTL_45T47: Wholesale and retail trade; repair of motor vehicles,,"49,854.100 ","5,610.800 ","8,743.900 ","6,599.500 ",642.900 ,"86,707.300 ","86,653.900 ","8,725.700 ","15,269.900 ","12,397.300 ","58,647.300 ","15,678.000 ","23,937.300 ","30,730.400 ","37,801.700 ","18,304.100 ","67,942.500 ","35,502.100 ","46,343.600 ","82,719.800 ","7,720.800 ","11,225.900 ","15,293.100 ","3,648.900 ","88,725.600 ","14,919.900 ","23,304.600 ","1,419.400 ","2,682.100 ","3,897.900 ","1,534.100 ","19,617.200 ","2,952.000 ","6,829.900 ","8,383.200 ","3,485.700 ","2,740.300 ","19,566.200 ","16,083.900 ","12,355.100 ","4,318.700 ","13,303.500 ","2,922.800 ","3,248.600 ",0.000 ,"196,805.500 ",79.800 ,"52,682.500 ","114,420.100 ","-2,698.700 ","4,860.900 ","1,060.700 ","131,269.500 ","-151,837.400 "
TTL_49: Land transport and transport via pipelines,,"21,176.300 ","2,678.500 ","8,871.100 ","6,677.700 ",347.400 ,"38,941.900 ","23,133.500 ","5,750.200 ","9,010.000 ","9,348.700 ","31,179.700 ","5,652.300 ","10,500.200 ","29,319.000 ","41,134.800 ","13,734.200 ","22,177.500 ","18,974.000 ","26,271.300 ","11,744.200 ","3,482.000 ","5,074.900 ","14,880.400 ","3,060.500 ","79,714.900 ","15,146.700 ","19,558.300 ",550.400 ,"1,079.900 ","5,737.900 ","1,399.500 ","7,152.600 ","1,687.700 ","2,485.700 ","2,858.600 ","2,537.100 ","1,649.800 ","7,734.100 ","6,683.100 ","8,550.500 ","3,092.800 ","3,353.300 ","1,497.200 ","1,557.400 ",0.000 ,"64,570.200 ",37.900 ,"20,769.900 ","31,483.900 ",11.000 ,"9,319.200 ","6,115.000 ","41,895.400 ","-54,552.600 "
TTL_50: Water transport,,"1,861.900 ",244.700 ,833.400 ,749.500 ,22.100 ,"2,780.900 ","1,865.600 ",403.400 ,689.500 ,830.900 ,"2,770.600 ",393.500 ,910.700 ,"2,473.800 ","3,555.700 ","1,209.600 ","2,091.300 ","1,607.100 ","2,346.000 ",999.400 ,293.700 ,420.300 ,"2,215.100 ",262.400 ,"5,232.900 ","1,728.100 ",813.100 ,"1,722.500 ",92.800 ,"1,753.800 ",50.700 ,497.600 ,87.800 ,171.500 ,206.600 ,88.700 ,91.900 ,799.100 ,749.700 ,271.100 ,146.100 ,226.900 ,146.100 ,129.700 ,0.000 ,"4,828.900 ",1.700 ,"1,389.900 ","2,782.900 ","5,719.000 ","2,089.600 ",685.300 ,"29,171.000 ","-38,149.300 "
TTL_51: Air transport,,"1,379.200 ",135.100 ,509.900 ,376.600 ,23.600 ,"2,057.600 ","1,551.300 ",323.800 ,585.600 ,462.100 ,"1,966.100 ",929.900 ,822.600 ,"1,667.800 ","2,018.300 ","1,113.100 ","3,775.300 ","1,619.400 ","2,848.300 ","1,365.100 ",256.400 ,432.900 ,"1,006.100 ",460.600 ,"5,565.600 ","3,860.000 ",859.500 ,44.400 ,"10,438.600 ","2,290.200 ","2,652.800 ",423.500 ,"1,333.600 ",593.200 ,"1,504.400 ","2,080.800 ","1,658.000 ","3,675.800 ","2,270.700 ","10,716.200 ","4,026.600 ",376.300 ,386.700 ,395.600 ,0.000 ,"6,408.600 ",4.200 ,"1,521.300 ","1,548.000 ",805.000 ,"5,486.600 ","2,534.400 ","15,971.600 ","-32,815.900 "
