To industry / sector,,"D01T02: Agriculture, hunting, forestry",D03: Fishing and aquaculture,"D05T06: Mining and quarrying, energy producing products","D07T08: Mining and quarrying, non-energy producing products",D09: Mining support service activities,"D10T12: Food products, beverages and tobacco","D13T15: Textiles, textile products, leather and footwear",D16: Wood and products of wood and cork,D17T18: Paper products and printing,D19: Coke and refined petroleum products,D20: Chemical and chemical products,"D21: Pharmaceuticals, medicinal chemical and botanical products",D22: Rubber and plastics products,D23: Other non-metallic mineral products,D24: Basic metals,D25: Fabricated metal products,"D26: Computer, electronic and optical equipment",D27: Electrical equipment,"D28: Machinery and equipment, nec","D29: Motor vehicles, trailers and semi-trailers",D30: Other transport equipment,D31T33: Manufacturing nec; repair and installation of machinery and equipment,"D35: Electricity, gas, steam and air conditioning supply","D36T39: Water supply; sewerage, waste management and remediation activities",D41T43: Construction,D45T47: Wholesale and retail trade; repair of motor vehicles,D49: Land transport and transport via pipelines,D50: Water transport,D51: Air transport,D52: Warehousing and support activities for transportation,D53: Postal and courier activities,D55T56: Accommodation and food service activities,"D58T60: Publishing, audiovisual and broadcasting activities",D61: Telecommunications,D62T63: IT and other information services,D64T66: Financial and insurance activities,D68: Real estate activities,"D69T75: Professional, scientific and technical activities",D77T82: Administrative and support services,D84: Public administration and defence; compulsory social security,D85: Education,D86T88: Human health and social work activities,"D90T93: Arts, entertainment and recreation",D94T96: Other service activities,D97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
TTL_20: Chemical and chemical products,,169 369.80,1 488.90,31 655.20,21 822.20,2 186.80,7 432.10,81 778.90,15 383.80,35 259.40,7 161.20,401 080.40,15 195.90,176 949.60,41 031.80,21 192.10,13 835.20,21 492.40,32 573.10,10 122.50,10 660.50,3 130.90,19 204.00,327.9,12 448.80,93 468.10,6 284.00,1 010.00,88.7,394.6,91.2,171.7,3 533.20,1 568.90,45,463.6,185.4,295.7,16 685.40,7 949.10,2 380.00,8 155.30,663.5,252,11 871.40,0,26 737.50,48.2,134.7,291.4,10 640.40,1 310.60,330.9,126 780.70,-140 474.10
"TTL_21: Pharmaceuticals, medicinal chemical and botanical products",,18 133.50,2 249.90,306.9,41.6,3.4,1 893.80,252.7,11.3,1 378.50,30.2,2 479.90,99 679.20,282.9,1 021.00,317.4,311.9,1 104.20,216.1,707.7,50,27,224.5,41.4,391.6,3 795.20,93.6,82.8,49.3,50.7,51,122.4,72.6,30.4,338.3,87.5,62.5,22.1,2 788.10,222.2,269.7,1 141.10,103 800.30,27.8,368.3,0,113 698.30,88.6,32 588.70,165.8,3 444.60,1 043.30,261.3,26 417.80,-26 336.00
TTL_22: Rubber and plastics products,,22 514.80,474.5,1 784.70,3 298.10,1 495.20,20 533.70,17 568.80,1 856.80,9 204.20,792.6,29 130.00,2 229.20,119 559.00,10 383.80,1 598.90,8 387.40,33 847.80,38 828.50,30 614.70,44 073.80,7 718.10,15 730.20,107.1,5 234.80,47 193.50,10 587.50,10 655.30,45.7,103.4,2 336.50,2 182.70,1 967.50,176.3,960.2,442,65.1,398.2,2 742.60,4 599.10,304.4,86.5,325.8,226.2,1 853.70,0,10 663.50,0.3,16.7,317.6,4 340.90,72,0,66 694.50,-21 422.80
TTL_23: Other non-metallic mineral products,,991.3,546.6,1 596.90,4 606.70,1 086.20,7 999.50,964.9,832.4,686.3,2 424.20,6 584.90,3 280.40,2 855.70,202 984.80,25 269.70,9 999.30,29 064.80,26 820.60,9 780.10,17 786.70,1 042.80,3 013.50,2 383.00,882.2,642 987.60,686,290.4,42.1,150.6,98.3,14.2,582.3,2.9,168,2.6,27.3,31.5,1 277.40,798.9,19.7,1 414.00,177.8,3.8,41.2,0,8 626.50,0.2,15.3,97,7 890.40,38.7,0,45 507.10,-11 993.20
TTL_24: Basic metals,,688.2,213.2,20 085.30,3 556.20,2 467.10,680.6,851,437.4,13 002.10,150.2,13 820.10,202.4,6 014.20,29 743.60,525 017.60,216 174.30,50 574.30,186 002.40,174 987.20,96 802.00,23 314.80,20 802.30,548.6,1 782.70,386 205.70,411.6,751.2,177.9,235.2,67.7,10.3,29.9,20.7,22.2,13.5,29.8,297.9,394.2,149.4,20.2,93,13.4,4,50.9,0,2 011.60,0.2,14.4,464.7,5 823.30,132.1,0,83 589.90,-103 410.20
TTL_25: Fabricated metal products,,2 070.50,234.5,12 354.10,9 465.80,968.3,5 009.10,3 338.00,2 421.00,1 493.10,226.4,4 499.30,1 265.20,7 215.80,20 579.30,5 198.90,108 274.00,24 219.40,33 734.70,81 482.90,32 200.00,13 158.50,9 931.40,2 504.50,2 637.80,147 686.60,4 095.40,827.1,377,112.1,2 286.80,170.6,560.4,27.1,364,123.5,53.3,965,15 964.20,16 813.10,973.6,1 138.70,61.7,140.7,895.1,0,6 772.00,5.1,10.6,137 429.50,-966,86.8,0,107 479.20,-31 119.20
"TTL_26: Computer, electronic and optical equipment",,817.8,166.2,5 817.80,446.7,571.8,1 212.70,621.8,81.6,687.5,493.2,1 668.70,496.2,1 776.00,1 603.80,1 695.00,6 609.60,757 272.00,59 787.00,63 693.00,22 451.00,11 941.00,4 544.10,20 090.00,2 820.10,12 386.50,27 884.70,2 740.70,471.8,1 566.60,2 735.30,291.7,1 542.80,1 351.10,17 480.70,15 832.60,638.5,376.8,34 962.50,16 348.40,4 612.70,5 874.80,6 961.90,1 044.50,2 672.80,0,96 299.60,20.4,71.2,229 448.30,9 767.10,1 428.70,445.7,528 060.00,-319 241.50
TTL_27: Electrical equipment,,538.2,108.4,2 464.50,2 952.30,181.1,907.1,716.6,157,294.4,116.7,1 199.50,148,1 776.80,1 974.80,1 496.30,7 332.70,78 040.20,138 527.20,64 061.00,24 770.90,22 663.90,4 404.20,48 305.10,916.8,109 136.40,29 547.00,2 293.60,69.2,2 052.90,1 573.70,445.8,710.8,454.8,8 259.80,2 323.10,59.5,53.7,12 590.40,10 627.50,1 597.20,119.6,247.4,97.1,744.3,0,59 290.40,1.7,20.3,114 571.40,4 609.30,657.1,170.7,201 108.00,-48 499.00
"TTL_28: Machinery and equipment, nec",,19 231.80,6 236.20,35 438.70,19 587.90,3 158.20,2 815.30,4 301.10,1 653.20,3 031.10,1 754.30,10 516.30,872.7,3 646.10,18 673.10,26 040.70,31 121.50,40 313.90,30 904.00,242 408.30,37 342.20,12 789.00,4 378.60,1 222.20,1 592.60,39 345.30,905.6,2 461.20,3 298.00,2 584.40,7 139.20,474.4,656,22.4,673.1,62.9,893.1,257.5,575.8,799,174.7,463.7,124.4,60.7,135.5,0,4 444.00,8.1,49.9,531 129.20,10 297.70,107.1,0,171 473.40,-100 933.90
"TTL_29: Motor vehicles, trailers and semi-trailers",,3 345.70,894.7,598.9,3 359.90,277.5,324.5,410.2,44.8,203.7,20,498.6,56.4,302,3 462.80,503.5,3 024.20,1 536.40,2 240.60,25 840.90,423 391.30,1 481.90,374.1,199.8,2 033.80,1 743.50,12 129.70,99 339.10,173.1,219,4 824.50,3 266.40,750.4,55.6,231.1,70.9,176.3,29.6,15 791.60,28 843.80,2 524.60,144.4,43.9,87.2,1 208.80,0,149 388.00,1.7,37.7,476 891.00,11 873.20,837.1,195.9,45 699.30,-70 558.50
TTL_30: Other transport equipment,,1 873.10,2 071.10,276.8,190.5,9,100.5,112.3,81.5,16.7,40.8,200.6,45,44.3,98.7,82.6,105.7,383.5,441.4,5 247.90,706.5,33 054.70,2 958.60,42.5,215.1,1 431.40,5 313.30,9 103.10,10 016.60,4 183.90,574.2,3 385.00,11.1,2,116.2,8.2,15.4,3.4,196.8,103.1,484,20.9,97.6,20.6,596.2,0,19 512.10,8.8,17.3,116 972.20,1 475.60,37.9,0,45 373.80,-42 533.90
TTL_31T33: Manufacturing nec; repair and installation of machinery and equipment,,2 822.00,594.6,2 663.40,956.6,235.4,2 037.70,2 417.70,902.2,1 189.40,397.9,1 458.00,843.5,588.5,2 436.50,2 094.60,2 114.50,3 555.90,1 751.90,3 562.60,10 914.10,1 583.80,13 758.30,4 685.50,866.1,13 671.80,3 481.30,2 543.80,185.8,1 365.80,323.1,860.6,911.9,476.6,1 139.30,1 244.60,4 280.80,2 596.70,9 411.90,10 034.80,8 874.20,4 501.00,455.7,1 305.10,3 425.80,0,47 164.30,16.2,78.2,56 672.00,6 783.10,3 905.00,1 272.60,143 136.50,-14 444.40
"TTL_35: Electricity, gas, steam and air conditioning supply",,19 996.00,1 747.20,34 891.30,29 167.40,820.8,10 853.20,12 551.50,3 717.80,8 459.70,4 355.00,53 209.00,4 303.10,8 461.40,40 944.40,85 581.50,26 143.00,14 300.10,9 071.50,18 278.40,7 575.70,2 422.70,4 026.00,224 683.30,11 852.50,39 438.60,13 876.60,35 844.30,62.4,358.5,1 239.00,870.8,8 421.20,886.2,7 654.30,1 395.20,1 589.80,4 536.20,3 492.20,4 543.10,4 430.80,3 002.60,1 560.70,771.5,4 223.60,0,103 684.40,33.1,129 468.00,70,1 239.90,42.1,0,1 509.60,-1 108.10
"TTL_36T39: Water supply; sewerage, waste management and remediation activities",,3 371.60,448.8,768.5,797.8,22.6,1 985.80,876.4,130.6,10 931.50,173.2,1 581.40,265.5,2 175.20,1 960.90,51 616.60,4 639.50,744.9,523.2,848.6,340.5,210.3,269.8,3 242.70,33 055.80,3 024.00,1 042.80,549.7,170.8,142,52.3,47.9,1 551.70,60.4,282,61,195.9,457.2,486.3,574.4,488.3,472.4,270.5,229.9,428.1,0,20 919.80,466.8,13 927.10,37 529.50,-1 002.80,20.5,0,0,-372.1
TTL_41T43: Construction,,1 272.80,54.4,292.1,82.5,7.2,220.8,207.4,44.8,79.2,84.5,313.1,49.9,100.9,170.6,207.3,136.1,549.5,156.4,413.5,149.6,52.6,114.9,2 134.80,829.8,79 729.20,1 251.40,984.8,5.2,116.5,122,191.3,842,305.5,671,61.1,815.1,6 902.30,330.9,751.8,4 570.90,1 884.70,485.8,397.4,342.2,0,31 165.90,68.9,47.4,3 236 168.00,0,124.7,0,0,-1 242.40
TTL_45T47: Wholesale and retail trade; repair of motor vehicles,,76 088.20,8 364.70,15 285.10,10 896.30,1 308.70,103 016.90,130 323.50,10 751.40,21 528.50,18 816.40,64 232.00,22 770.00,30 003.00,38 858.70,51 814.40,28 118.60,108 446.40,47 195.80,61 111.40,106 381.70,12 602.60,18 692.00,23 514.20,6 122.80,136 011.90,20 560.50,32 013.00,3 810.50,4 077.20,5 327.40,2 727.00,36 201.30,2 735.30,5 009.30,3 760.30,3 174.90,2 977.20,21 205.50,29 824.80,14 349.70,6 857.80,17 516.80,3 323.80,4 977.90,0,293 760.30,108,134 946.10,203 327.60,-1 913.20,10 402.50,908.5,144 365.20,-194 997.00
TTL_49: Land transport and transport via pipelines,,41 712.30,5 212.40,12 477.80,7 511.30,701.1,48 001.10,36 666.30,6 631.70,10 996.70,14 894.40,34 186.70,8 499.30,13 144.60,30 927.90,43 276.20,16 760.80,34 936.70,21 326.40,30 627.00,15 969.50,5 013.70,8 157.30,18 254.20,3 010.30,85 792.40,26 886.20,27 628.60,1 885.90,1 808.10,10 067.20,3 862.90,15 260.40,1 229.40,1 792.70,1 916.70,1 630.00,1 459.10,10 503.50,15 093.10,6 635.30,5 002.90,4 633.80,1 091.10,2 746.00,0,103 494.50,57.3,21 637.90,52 288.90,0,19 193.80,5 267.50,53 928.90,-70 806.10
TTL_50: Water transport,,7 087.80,1 605.30,2 330.10,1 416.10,84.8,4 791.10,3 983.20,720.2,1 647.40,1 129.10,6 106.80,993.8,2 538.80,5 067.50,6 144.40,2 589.30,3 592.60,2 802.40,5 674.90,2 788.70,691.9,1 056.10,2 465.30,599.4,8 946.90,15 727.10,957.3,10 956.10,109,7 259.40,58.3,1 203.40,102.1,97.1,125.6,100.4,91.7,1 451.80,1 197.60,404.8,430,249,101.7,238.9,0,13 024.90,1.5,4 715.00,4 716.80,3 462.00,4 382.00,605.4,24 145.80,-44 090.20
TTL_51: Air transport,,4 640.50,414.3,877.8,588.2,76.1,2 703.10,4 139.80,455.3,751.3,638.5,2 084.60,1 495.30,1 066.30,2 020.10,2 206.50,1 540.40,4 763.90,2 182.30,3 799.70,2 830.10,518.3,777.2,1 429.20,429.8,6 566.50,8 847.50,714.9,103.2,11 384.30,823.4,3 640.00,991.3,643.1,839.1,1 277.80,1 073.00,960.7,9 790.00,13 151.20,11 367.90,6 054.50,485,564.3,699.5,0,18 494.30,7.3,2 094.70,3 927.30,692.7,11 186.60,2 125.10,14 068.50,-46 710.80
TTL_52: Warehousing and support activities for transportation,,6 532.40,696.2,2 425.30,1 512.10,132.3,7 930.40,10 132.50,1 322.70,2 266.40,2 477.40,8 555.00,1 463.80,5 321.40,5 508.30,9 815.20,3 885.30,7 504.40,4 932.00,6 545.10,6 948.40,1 324.50,2 095.30,3 185.40,752.8,15 851.00,6 621.90,7 057.80,5 777.20,495,2 236.80,1 338.30,2 498.40,218.3,328.6,293.1,232.4,193.9,1 884.80,2 410.60,851.2,485.7,897.7,241.5,680.1,0,19 288.00,23.5,1 230.20,14 737.90,609.4,694.1,31.9,11 025.10,-21 053.60
TTL_53: Postal and courier activities,,5 559.10,1 093.10,1 194.30,351.3,34.8,4 796.30,1 965.30,663.4,682.4,280.7,2 171.40,2 080.80,1 090.30,2 271.60,3 392.10,1 824.10,2 197.30,3 849.30,2 774.40,3 533.70,422.1,910.5,1 689.60,320.6,6 070.60,30 790.70,732.8,18.1,82.4,140,6 305.00,1 186.90,122.2,1 090.10,1 518.80,2 691.30,312.3,1 290.10,1 191.90,1 486.70,994.6,904.5,307.5,412.6,0,7 022.20,7.6,35.8,2 156.80,387.5,380.8,48.6,4.3,-588.3
TTL_55T56: Accommodation and food service activities,,6 760.80,728.5,3 395.40,2 967.60,247.5,9 012.20,4 114.00,846.1,2 438.70,547.2,5 846.20,5 006.40,2 517.80,6 508.80,7 351.00,5 004.00,7 586.20,5 168.90,8 721.80,4 493.60,1 359.70,2 031.60,3 080.10,2 722.00,24 352.10,12 906.80,17 650.50,280.1,3 875.50,2 822.20,1 598.10,1 634.90,4 320.10,1 667.20,2 369.30,17 112.80,3 899.00,29 259.80,40 771.20,36 751.40,13 936.90,1 396.40,2 816.40,2 944.40,0,302 553.20,410.1,31.9,33.7,0,79 240.80,10 523.40,0,-79 642.70
"TTL_58T60: Publishing, audiovisual and broadcasting activities",,94.7,4.4,445.2,197.7,7.2,552.9,658,124.5,176.4,62.5,456.9,373.6,502.5,692,852.7,448.3,1 015.70,567.1,976.2,313.7,79.2,194.1,508.4,404.3,1 023.70,837.1,286.3,59.6,268.8,60.1,93.8,607.6,2 293.00,1 329.20,324.5,522.3,412.3,1 253.80,540.5,5 232.20,2 343.30,144.6,474.2,302.5,0,38 132.90,254.1,16 918.20,8 853.90,214.7,1 353.40,230.9,13 271.80,-22 726.20
TTL_61: Telecommunications,,2 645.70,344.3,442.9,478.9,20.2,894.9,708.2,164.5,366.2,38.5,780,441.8,365,962.3,488.5,791.2,2 095.20,866.5,1 358.10,536.4,113.9,272.1,2 023.90,880.5,21 801.40,3 185.70,3 120.50,2 840.10,598.4,759.4,2 147.40,1 802.20,838.2,32 871.20,19 649.70,5 327.90,2 310.90,2 662.10,1 981.70,20 528.90,5 136.70,2 446.50,875.7,712.3,0,113 202.70,60.6,41.5,216.7,133.6,5 290.50,906.7,3 930.70,-7 508.90
TTL_62T63: IT and other information services,,1 659.90,9.2,524.8,734.3,34,1 804.30,1 512.20,168.8,435.7,67.1,1 632.30,765.3,644.6,821.4,918.9,880.8,16 649.00,1 797.00,2 674.60,1 261.10,420.8,587.7,1 941.70,637.4,16 443.50,5 329.10,5 081.70,1 574.50,1 964.30,3 376.50,1 917.00,1 494.50,938.8,14 015.20,21 306.00,7 121.00,2 281.60,4 363.10,3 503.70,9 596.40,2 431.70,1 165.40,449.7,610.1,0,32 843.10,29.8,100.3,207 772.00,1 567.10,175.4,11.3,46 080.90,-41 751.10
TTL_64T66: Financial and insurance activities,,25 413.50,7 306.80,36 317.30,10 129.90,490,7 741.90,7 978.60,1 777.10,6 197.70,2 251.90,15 111.70,5 791.60,5 383.50,15 627.20,43 821.90,10 954.80,22 693.80,10 010.80,17 083.80,6 740.30,2 760.30,2 885.80,33 065.90,8 232.50,103 385.20,65 270.10,106 928.50,8 705.40,4 594.00,4 239.10,1 113.80,4 725.20,1 157.40,6 634.50,4 609.80,36 096.90,78 036.40,28 641.30,33 874.10,12 540.60,10 783.30,1 600.40,2 200.20,2 354.70,0,291 037.70,544.9,60 280.70,471.4,980.2,4 404.60,777.6,8 562.10,-26 638.80
TTL_68: Real estate activities,,37,1,324,39.8,25.9,384.6,248,65.7,99.6,5.9,149.9,61.5,384.4,280.5,44.2,261.7,610.5,345.3,494.3,226.6,121.4,366.3,136,624.7,425.6,92 107.90,2 250.20,49.3,659,2 416.10,3 637.50,17 394.30,863.6,8 037.00,13 235.80,25 000.40,22 561.90,21 549.20,23 567.10,8 594.90,13 117.70,2 405.60,2 982.10,20 024.00,0,707 149.90,612,16.1,118 773.50,67,8 437.10,2 510.60,1 906.90,-15 075.60
"TTL_69T75: Professional, scientific and technical activities",,13 149.40,1 161.40,11 390.50,5 405.20,383.9,14 653.90,6 466.80,1 423.20,3 987.40,1 255.00,11 993.90,9 797.50,6 884.20,8 825.90,7 099.50,7 514.50,20 350.80,10 017.80,18 754.60,18 783.80,2 163.70,2 703.20,5 045.70,1 584.80,99 467.50,79 958.20,3 798.70,811.6,2 730.10,2 625.20,2 540.30,4 293.00,1 489.10,9 845.50,9 141.00,16 555.30,25 849.00,38 566.00,14 810.60,3 180.40,2 528.40,678.3,847.7,2 308.70,0,3 302.80,500.1,83 134.60,92 202.00,1 352.50,2 110.40,389.6,33 339.10,-34 695.20
TTL_77T82: Administrative and support services,,5 413.90,1 209.70,22 111.90,7 897.80,468.6,25 915.50,15 809.30,1 804.00,4 854.50,2 820.30,9 996.40,10 864.50,7 640.60,13 771.20,10 244.50,10 460.60,23 136.60,12 775.10,23 028.70,25 033.40,2 433.30,5 800.50,5 078.80,2 637.60,41 169.40,134 837.80,9 176.00,1 659.30,6 424.90,5 479.10,4 632.20,9 228.30,2 872.30,17 030.70,16 657.70,27 999.90,29 065.40,28 818.50,74 426.50,16 758.00,4 408.40,1 022.90,2 290.20,4 792.30,0,78 398.10,518.5,153 348.70,24 071.00,686,3 521.90,783.6,14 514.10,-28 474.80
TTL_84: Public administration and defence; compulsory social security,,769.6,86.9,196.7,166.7,7.3,343.6,321.5,78.9,110.4,44.5,286.6,145.1,220.1,430.3,643.4,260.8,389,144.8,382.2,190.7,45.5,156.9,197.9,291,452.3,297,128,214.8,38.6,58.3,47.3,154.4,62.8,221.3,99.1,258.5,715.3,532.1,582.6,10 510.50,619.3,85,106.2,134.8,0,6 501.90,723.7,857 614.00,227.1,0,574.3,0,0,-2 693.30
TTL_85: Education,,339.9,32.6,198.5,65.2,4.2,186.4,134.4,28.9,40.5,18.5,129.2,102.1,74,151.7,88.4,143.6,169.8,95.9,288.3,124.5,33.5,82.6,36,136.6,872.4,1 666.30,881,23.7,100.6,27,46.1,379.4,121.3,551.8,60.8,1 397.50,186.9,418.1,364.8,4 771.50,6 288.70,354.3,118.2,164.5,0,232 031.90,5 726.20,371 491.30,211.1,0,38 784.40,205.5,0,-39 352.80
TTL_86T88: Human health and social work activities,,289.7,4.9,268.7,199.4,0.4,116.7,147.7,41.3,97,256.2,123.5,58.2,31.1,240,452.9,421.8,339.2,253.1,386.3,225.6,94.9,37.9,307.8,48,1 054.70,360.9,277.9,29.6,11.7,122.4,2.8,48.4,16.7,18.5,19,104.6,29.3,52.6,35.4,1 377.40,150.8,987,26.7,60.7,0,154 360.20,7 552.90,291 415.90,119.7,0,3 645.00,614.8,0,-4 366.40
